year	actor	actorType	action	obj1	obj2	note
2009	AutoNavi	startup	start			
2009	deCarta	startup	start			
2009	Google	tech	start			
2009	Tesla	car	start			
2009	Sebastian Thrun	person	hire	Google		Internal move
2009	Anthony Levandowski	person	hire	Google		Internal move
2009	Lior Ron	person	hire	Google		Internal move
2009	Chris Urmson	person	hire	Google		
2009	Dag Reckhorn	person	hire	Tesla		
2009	Peter Rawlinson	person	hire	Tesla		
2009	Tom Wessner	person	hire	Tesla		
2010	Don Burnette	person	hire	Google		
2010	Nick Sampson	person	hire	Tesla		
2010	Sylpheo	startup	start			
2011	Bryan Salesky	person	hire	Google		
2012	HERE	startup	start			
2012	Udacity	startup	start	Sebastian Thrun		
2013	Claire Delaunay	person	hire	Google		
2013	Cruise Automation	startup	start	Kyle Vogt, Daniel Kan		
2013	Saips	startup	start			
2013	Lucid Motors	startup	start	Peter Rawlinson		
2014	Alibaba	tech	start			
2014	Alibaba	tech	acquire	AutoNavi		
2014	Sterling Anderson	person	hire	Tesla		
2014	Dag Reckhorn	person	hire	Faraday Futures		
2015	Apple	tech	start			
2015	Uber	tech	start			
2015	GM	car	start			
2015	Ford	car	start			
2015	Uber	car	acquire	deCarta		
2014	Faraday Futures	startup	start	Nick Sampson, Tom Wessner		
2015	Audi, BMW, and Daimler	car	start			
2015	Audi BMW and Daimler	car	acquire	HERE		
2015	Peter Rander	person	hire	Uber		
2015	Brett Browning	person	hire	Uber		
2015	John Krafcik	person	hire	Google		
2016	Otto	startup	start	Claire Delaunay, Anthony Levandowski, Don Burnette, Lior Ron		
2016	Argo AI	startup	start	Bryan Salesky, Peter Rander, Brett Browning		
2016	Ford	car	acquire	Saips		
2016	GM	car	acquire	Cruise Automation		
2016	Renault-Nissan	car	start			
2016	Renault-Nissan	car	acquire	Sylpheo		
2016	Baidu	tech	start			
2016	Google	tech	rename	Waymo		
2016	Aurora Innovation	startup	start	Chris Urmson		
2017	Tesla	car	sue	Sterling Anderson		
2017	Waymo	tech	sue	Anthony Levandowski		
2017	Uber	tech	acquire	Otto		
2017	Sterling Anderson	person	hire	Aurora Innovation		
2017	Baidu	tech	acquire	RavenTech		
